"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","G","AT22",2017,1425.3
"TOTAL","INPAT","P_HTHAB","M","G","AT31",2017,1414
"TOTAL","INPAT","P_HTHAB","M","G","AT32",2017,1186.5
"TOTAL","INPAT","P_HTHAB","M","G","AT33",2017,1466.7
"TOTAL","INPAT","P_HTHAB","M","G","AT34",2017,918
"TOTAL","INPAT","P_HTHAB","M","G","BE",2017,1301.4
"TOTAL","INPAT","P_HTHAB","M","G","BE10",2017,1260.6
"TOTAL","INPAT","P_HTHAB","M","G","BE21",2017,1183.1
"TOTAL","INPAT","P_HTHAB","M","G","BE22",2017,1496.8
"TOTAL","INPAT","P_HTHAB","M","G","BE23",2017,1146.4
"TOTAL","INPAT","P_HTHAB","M","G","BE24",2017,1138.8
"TOTAL","INPAT","P_HTHAB","M","G","BE25",2017,1426.1
"TOTAL","INPAT","P_HTHAB","M","G","BE31",2017,1329
"TOTAL","INPAT","P_HTHAB","M","G","BE32",2017,1604.2
"TOTAL","INPAT","P_HTHAB","M","G","BE33",2017,1265.1
"TOTAL","INPAT","P_HTHAB","M","G","BE34",2017,1081.2
"TOTAL","INPAT","P_HTHAB","M","G","BE35",2017,1414.1
"TOTAL","INPAT","P_HTHAB","M","G","BG",2017,856.7
"TOTAL","INPAT","P_HTHAB","M","G","BG31",2017,1081.3
"TOTAL","INPAT","P_HTHAB","M","G","BG32",2017,764.9
"TOTAL","INPAT","P_HTHAB","M","G","BG33",2017,447.8
"TOTAL","INPAT","P_HTHAB","M","G","BG34",2017,526.3
"TOTAL","INPAT","P_HTHAB","M","G","BG41",2017,1194.5
"TOTAL","INPAT","P_HTHAB","M","G","BG42",2017,801.8
"TOTAL","INPAT","P_HTHAB","M","G","CH",2017,445.9
"TOTAL","INPAT","P_HTHAB","M","G","CY",2017,117.4
"TOTAL","INPAT","P_HTHAB","M","G","CZ",2017,677.7
"TOTAL","INPAT","P_HTHAB","M","G","CZ01",2017,950.5
"TOTAL","INPAT","P_HTHAB","M","G","CZ02",2017,512.7
"TOTAL","INPAT","P_HTHAB","M","G","CZ03",2017,659.2
"TOTAL","INPAT","P_HTHAB","M","G","CZ04",2017,503.6
